,title,schools,subcategory,slug,slugSubcategory,countschools,athenscity,athensSchools,athensCount,thessCity,thessSchools,thessCount
0,Baby,7042020140113school,Baby Swimming,baby,baby-swimming,1,Αθήνα,7042020140113school,1,Θεσσαλονίκη,7042020140113school,1
1,Αθλητισμός,7042020140113school,"Volley,Ποδόσφαιρο,Κολύμβηση,Τεχνική Κολύμβηση,Basket,Boxing,Judo,Karate,Tae Kwon Do,Πάλη,Ποδηλασία,Σκάκι,Στίβος,Tennis,Ιστιοπλοϊα,Πόλο,Συγχρονισμένη Κολύμβηση,Κωπηλασία,Aikido,Ενόργανη-Ρυθμική,Bridge,Beach Volley,Handball,Kick Boxing,Ping Pong,Badminton,Άρση Βαρών,Μπαλέτο,Ξιφασκία,Σκοποβολή,Τοξοβολία,Airsoft,Climbing,Padel Tennis,Αναρίχηση,Ιππασία,Παρκούρ",athlitismos,"bridge,handball,natural-movement,padel-tennis,ping-pong,tennis,volley,anarixisi,gymnastics-rithmiki,kithara,rowing,fencing,wrestling,parkour,cycling,football,stivos,texniki-kolimvisi,toxovolia,polo,sigxronismeni-kolimvisi,badminton,shooting,lifting,beachvolley",1,Αθήνα,7042020140113school,1,Θεσσαλονίκη,7042020140113school,1
2,Βουνό,7042020140113school,"Climbing,Ski,Ποδηλασία",athlimata-vounou,ski,1,Αθήνα,7042020140113school,1,Θεσσαλονίκη,7042020140113school,1
3,Εκπαιδευτικά,7042020140113school,Robotics,ekpaideutika,"robotics,dimiourgiki-apasxolisi",1,Αθήνα,,0,Θεσσαλονίκη,7042020140113school,1
4,Θάλασσα,7042020140113school,"Κάνοε-Καγιάκ,Ιστιοπλοϊα,Kitesurf,Ski,Γυμναστήριο,Κατάδυση",water-sports,"kitesurf,sailing,canoe-kayak,diving,phishing",1,Αθήνα,7042020140113school,1,Θεσσαλονίκη,7042020140113school,1
5,Θέατρο,7042020140113school,"Θεατρικό Εργαστήρι,Μουσική Σχολή",theatro,,1,Αθήνα,,0,Θεσσαλονίκη,7042020140113school,1
6,Ιατρικά,7042020140113school,Γυμναστήριο,medical,,1,Αθήνα,7042020140113school,1,Θεσσαλονίκη,,0
7,Καλιτεχνικά,,,kalitexnika,"zografiki,ergastiri-kalitexniko,theatro",0,Αθήνα,,0,Θεσσαλονίκη,,0
8,Κλειστού Χώρου,7042020140113school,"TRX,Pilates,Oρθοσωμική,Stretching,Γυμναστήριο,Kids fitness,Fitness,Σκουός,Yoga,Aikido,Capoeira,Climbing,Cross Fit,Karate,Kendo,Kick Boxing,Kung Fu,Ninjutsu,PERSONAL TRAINER,Personal Trainer,PILATES,Tae Kwon Do",kleistou-xorou,"basket,climbing,crossfit,personal-trainer,pilates,yoga,gym,chess,trx,taaebo,orthosomiki,bodybars,stretching,kidsfitness,fitness,skouos",1,Αθήνα,7042020140113school,1,Θεσσαλονίκη,7042020140113school,1
9,Μουσική,7042020140113school,"Κιθάρα,Εργαστηρι Χορού,Μουσική Σχολή,Πρότυπο Μουσικό Εργαστήρι,",mousiki,"violin,guitar,mousiki-propaidia,mousiki-sxoli,moudiko-ergastiri,odeio",1,Αθήνα,,0,Θεσσαλονίκη,7042020140113school,1
10,Παιδαγωγικά  Καλιτεχνικά,,,paidagogika-kallitexnika,"ergastiri-xorou,zwgrafiki,skitsocomic,plektiki,makramekosmima,diakosmitikaconstructions,koptikiraptiki",0,Αθήνα,,0,Θεσσαλονίκη,,0
11,Πολεμικές τέχνες,7042020140113school,"Aikido,Krav Maga,Capoeira,Judo,Tae Kwon Do,Jiu-Jitsu,Kick Boxing,Kendo,Iaido,Hapkido,Karate,Tai Chi,Basket,Boxing,Eskrima,Jeet Kune Do,Kali,Kickboxing,Boxing,Kickboxing,Karate,Kickboxing,Tae Kwon Do,Kung Fu,MMA,mma,Muay Thai,muay thai,Muay Thai,MMA,Boxing,Tae Kwon Do,Ninjutsu,Sanda,Savate,Tang Soo Do,Tennis,Wing Chun,Yoga,Γυμναστήριο,Γυμναστική,Kickboxing,Boxing,Tae Kwon Do,Judo,Ενόργανη-Ρυθμική,Πάλη,",polemikes-texnes,"aikido,boxing,capoeira,grappling,hapkido,jwai-moo-do,iaido,jiujitsu,judo,kali,karate,kobudo,kickboxing,krav-manga,kung-fu,mma,muay-thai,ninjutsu,sanda,savate,self-defense,tae-kwon-do,taichi,tang-soo-do,thai-boxing,wing-chun,pagratio,jeetkunedo",1,Αθήνα,7042020140113school,1,Θεσσαλονίκη,7042020140113school,1
12,Πολυχώρος,,,polyxoros,"polyxoros,xoros-texnis",0,Αθήνα,,0,Θεσσαλονίκη,,0
13,Υπαιθρίες Δραστηριότητες,7042020140113school,Ιππασία,ypaithries-drastiriotites,"flying,horse-riding",1,Αθήνα,7042020140113school,1,Θεσσαλονίκη,7042020140113school,1
14,Χορός,7042020140113school,"Latin-Ballroom,Μπαλέτο,Ελληνικοί Χοροί,ΣΥΓΧΡΟΝΟΣ ΧΟΡΟΣ,Hip Hop,SALSA & BACHATA,Bachata,Cha Cha Cha,Pole Dance,Salsa,Swing,Μοντέρνος Χορός,Σχολή Χορού,Τάνγκο",xoros,"bachata,cha-cha-cha,dance-school,kizomba,latin-ballroom,merengue,oriental,pachanga,pole-dance,salsa,studio-xorou,swing,zumba,african-dance,modern-dance,paradosiakoi-xoroi,sxoli-xorou,tango,balet,ellinikoixoroi,hiphop,latinevropaiki,breakdance,salsabachata,modernjazz,moderndance",1,Αθήνα,7042020140113school,1,Θεσσαλονίκη,7042020140113school,1
