,UID,about,category,checkins,cover,description,emails,id,latitude,link,located_in,longitude,page_token,phone,picture,street,website
0,273,"Για να μάθετε τις πολεμικές τέχνες δίπλα στους καλύτερους και από τους καλύτερους . Don't Think... just Fight #Kick boxing #Μαρούσι , #K-1 , #Kung Fu Fu Jow Pai",Sports & Fitness Instruction,387,https://scontent.xx.fbcdn.net/v/t31.0-8/s720x720/14633148_10154039577686235_8485523858568511124_o.jpg?oh=ec3f2f43b67768c1e1ea4091fdbd16e3&oe=5B3B627D,"kick boxing , kung fu fu jow pai , martial arts, πολεμικές τέχνες , Μαρούσι",stelios@zenfightingclub.gr,9908761234.0,38.05429,https://www.facebook.com/zenfightingclub.gr/,,23.8085099,zenfightingclub.gr,2108066511,https://scontent.xx.fbcdn.net/v/t1.0-1/c10.0.50.50/p50x50/10676281_10152704845056235_1585707012020201526_n.jpg?oh=bb59f1e5490adca83024afa1080ada52&oe=5B418189,Βασιλίσσης Σοφίας 38,http://www.zenfightingclub.gr
1,390,Καλωσήρθατε στην Επίσημη σελίδα του Παναθηναϊκού Α.Ο.!,Amateur Sports Team,91,https://scontent.xx.fbcdn.net/v/t31.0-8/s720x720/27625102_10156066979054801_4613719357639807794_o.jpg?oh=4df2425f19cba73e99f940230849e5bc&oe=5B06E2EF,"Ο Παναθηναϊκός Αθλητικός Όμιλος, ιδρυθείς από τον Γεώργιο Καλαφάτη στις 3 Φεβρουαρίου του 1908, είναι το ενδοξότερο αθλητικό σωματείο της Ελλάδος με ιστορία σε 32 διαφορετικά αθλήματα και περισσότερους από 1500 τίτλους στην έως τώρα διαδρομή του. Σήμερα, 109 χρόνια μετά, ο Παναθηναϊκός συνεισφέρει στην ενίσχυση του Ελληνικού Αθλητισμού μέσω της δραστηριότητας των αγωνιστικών του τμημάτων σε 20 αθλήματα, ομαδικά και ατομικά, αλλά και στο τοπικό και ευρύτερο κοινωνικό σύνολο μέσω των Ακαδημιών, οι χώροι των οποίων αποτελούν «κυψέλες» υγείας και άθλησης για περισσότερους από 2.500 αθλητές και αθλήτριες.",info@panathinaikos1908.gr,20967869800.0,37.9828398,https://www.facebook.com/PanathinaikosAO1908/,,23.7557773,PanathinaikosAO1908,302106444401,https://scontent.xx.fbcdn.net/v/t1.0-1/p50x50/14330100_10154546239414801_3036317189635911386_n.jpg?oh=4f64a312183451adef599a8e1a439f10&oe=5B3BD3CD,Μακεδόνων 8,http://www.panathinaikos1908.gr/
2,75,"GADALA ΕΞΕΙΔΙΚΕΥΜΕΝΟ ΚΕΝΤΡΟ ΔΙΔΑΣΚΑΛΙΑΣ ΑΝΑΤΟΛΙΤΙΚΟΥ ΧΟΡΟΥ. 2103211008, ΑΓ.ΕΛΕΟΥΣΗΣ 5, ΑΘΗΝΑ",Dance Studio,7813,https://scontent.xx.fbcdn.net/v/t1.0-9/s720x720/16387448_10154502253810186_2534362701297774093_n.jpg?oh=0cb1b82322a5cfa2b76a9387df0ee1b0&oe=5B3A38C1,"ΠΡΟΤΥΠΟ ΠΙΣΤΟΠΟΙΗΜΕΝΟ ΚΕΝΤΡΟ ΔΙΔΑΣΚΑΛΙΑΣ ΑΝΑΤΟΛΙΤΙΚΟΥ ΧΟΡΟΥ GADALA https://www.gadala.gr * 2103211008 * info@gadala.gr ----------------------------ABOUT US------------------------------- GADALA ΕΞΕΙΔΙΚΕΥΜΕΝΟ ΚΕΝΤΡΟ ΔΙΔΑΣΚΑΛΙΑΣ ΑΝΑΤΟΛΙΤΙΚΟΥ ΧΟΡΟΥ *ΚΕ. ΔΙ. ΒΙ. Μ. 1 Πιστοποιημένο από τον Ε.Ο.Π.Π.Ε.Π. - ΥΠΟΥΡΓΕΙΟ ΠΑΙΔΕΙΑΣ & ΘΡΗΣΚΕΥΜΑΤΩΝ Αγίας Ελεούσης 5, Τ.Κ. 10554, Ιστορικό Κέντρο Αθήνας, Μοναστηράκι Τηλ. 210 32 11 008 E-mail: info@gadala.gr https://www.gadala.gr , https://www.bellydance.edu.gr, https://www.oriental.edu.gr ---------------------------------------INFORMATION------------------------------------- Το πρότυπο Εξειδικευμένο Κέντρο Διδασκαλίας Ανατολίτικου Χορού GADALA ιδρύθηκε το 2005 εις μνήμην του αιγύπτιου HUSSEIN M. GADALA, πατέρα της ιδρύτριας FOTINI H. GADALA, με σκοπό την προώθηση του ανατολίτικου χορού και της πλούσιας Αιγυπτιακής κουλτούρας και λειτουργεί ως 1. Πιστοποιημένο & Αναγνωρισμένο Εκπαιδευτήριο από το Υπουργείο Παιδείας, Θρησκευμάτων, Πολιτισμού & Αθλητισμού. 2. Αδειοδοτημένο Κέντρο Δια Βίου Μάθησης από τον Εθνικό Οργανισμό Πιστοποίησης Προσόντων & Επαγγελματικού Προσανατολισμού (Ε.Ο.Π.Π.Ε.Π) 3. Πιστοποιημένο Εκπαιδευτικό & Εξεταστικό Κέντρο από τον Παγκόσμιο Οργανισμό Διαφύλαξης Πολιτιστικής Κληρονομιάς M.E.D.W.OR. 4. Αναγνωρισμένη & Πιστοποιημένη Σχολή Χορού από την Διεθνή Οργάνωση Παγκοσμίου Συμβουλίου Χορού C.I.D. - UNESCO Μέλος του Παγκόσμιου Οργανισμού I.O.V. - WORLD UNESCO FOLK ARTS. Προσφέρει επαγγελματικά προγράμματα σπουδών και πτυχία στον ανατολίτικο χορό (oriental) διεθνώς αναγνωρισμένα στην Ελλάδα και το Εξωτερικό από τον Ε.Ο.Π.Π.Ε.Π. και το Υπουργείο Παιδείας, Θρησκευμάτων, Πολιτισμού & Αθλητισμού ...και παράλληλα διεθνή αναγνώριση στο Εξωτερικό από τους Διεθνείς Παγκόσμιους Οργανισμούς M.E.D.W.O.R., I.O.V. - WORLD UNESCO FOLK ARTS και C.I.D. - UNESCO. ******Διδαχθείτε εξειδικευμένα και ποιοτικά δίπλα μας τις τεχνικές του αυθεντικού ανατολίτικου χορού!******* https://www.gadala.gr * 2103211008 * info@gadala.gr",info@gadala.gr,31016925185.0,37.97766393,https://www.facebook.com/sxoli.xorou.oriental/,,23.72569309,sxoli.xorou.oriental,2103211008,https://scontent.xx.fbcdn.net/v/t1.0-1/p50x50/305605_10150702395875186_491086000_n.jpg?oh=82d51ea924d675ffd17f1343213337d1&oe=5B4532D9,ΜΙΑΟΥΛΗ & ΑΓΙΑΣ ΕΛΕΟΥΣΗΣ 5 ΜΟΝΑΣΤΗΡΑΚΙ ΑΘΗΝΑ,http://www.oriental.edu.gr
3,717,Παραδοσιακές Ιαπωνικές Πολεμικές Τέχνες - ninjutsu - taijutsu http://www.bujutsu.gr,Martial Arts School,118,https://scontent.xx.fbcdn.net/v/t31.0-8/q85/s720x720/16602442_10153979189391324_4526956162051172357_o.jpg?_nc_cat=0&oh=d4a12eabfcaaec02e7ce77ea53dda48b&oe=5BEB1ABC,Παραδοσιακές Ιαπωνικές Πολεμικές Τέχνες - ninjutsu - taijutsu http://www.bujutsu.gr,,41448456323.0,37.97671814,https://www.facebook.com/Bujinkan-Shinken-Dojo-Athens-41448456323/,,23.73199932,Bujinkan-Shinken-Dojo-Athens-41448456323,#ERROR!,https://scontent.xx.fbcdn.net/v/t1.0-1/p50x50/16507873_10153979171711324_2359051073705738915_n.png?_nc_cat=0&oh=f7fc14ebde6ad249223b1f34206ebbfe&oe=5BA9EDCD,Σουλίου,http://www.bujutsu.gr
4,1101,TELEIO GYMNASTHRIO!!!!!!!!,Sports Club,73,https://scontent.xx.fbcdn.net/v/t31.0-8/s720x720/11070010_10153190801112206_1199370005714422971_o.jpg?_nc_cat=0&oh=c4621f9c39fb03780ca6f476e5ac99de&oe=5BE08B1A,,,42085967205.0,37.95501,https://www.facebook.com/BODY-ART-GYM-42085967205/,,23.65705,BODY-ART-GYM-42085967205,2104204633,https://scontent.xx.fbcdn.net/v/t1.0-1/p50x50/28166950_10156184465797206_695189838656370333_n.jpg?_nc_cat=0&oh=3775a3441f782f43ac68bcefba52dc8e&oe=5BAC4867,Κυπριων Αγωνιστων 8β & Μεθανων,
5,1513,Εναλλακτικό Θεραπευτικό Κέντρο Ευεξίας & Μεθόδων Άσκησης www.satya.gr,Alternative & Holistic Health Service,43,https://scontent.xx.fbcdn.net/v/t1.0-9/18619945_10155468733274446_4255168155479370419_n.jpg?_nc_cat=0&oh=04d3fd2cad02e5cdea2b7ea39add42e3&oe=5B9E93EC,"Στο χώρο μας θα βρείτε εναλλακτικές θεραπείες Ενεργειακής Αναδόμησης DNA, Αγγελικού Ρέικι, Θιβετιανού Μασσάζ, NLP, σεμινάρια αυτοανάπτυξης, ομάδες καθοδηγούμενου διαλογισμού, αλλά και τμήματα για Power Yoga και Pilates.",info@satya.gr,85725624445.0,37.9415941,https://www.facebook.com/DNASATYA/,,23.65056887,DNASATYA,210-4133131,https://scontent.xx.fbcdn.net/v/t1.0-1/c25.0.50.50/p50x50/1914931_140307614445_219314_n.jpg?_nc_cat=0&oh=1e3dab2de895ce0e5f119441e24ff4f1&oe=5BAFF794,Γρ.Λαμπράκη 91,www.satya.gr
6,261,Αθλητικός σύλλογος Wado Ruy,Gym/Physical Fitness Center,997,https://scontent.xx.fbcdn.net/v/t1.0-9/s720x720/14224780_10154462677414476_2564778318514649176_n.jpg?oh=4cd610587bbdd36085d61c29c1a96e4f&oe=5B4570DA,"Σύλλογος αναγνωρισμένος από την Ελληνική αλλά και την Παγκόσμια Ομοσπονδία Καράτε. Σε μάς, η ταχύτητα,η δύναμη και η τέχνη γίνονται ένα! Εκπαιδευτής - Προπονητής Εθνικής ελλάδος: Στέλιος Σκαρογιάννης - 6 DAN",,102463499475.0,37.9571777,https://www.facebook.com/skarogiannis.team.karate/,,23.7100764,skarogiannis.team.karate,2109572736,https://scontent.xx.fbcdn.net/v/t1.0-1/p50x50/14184479_10154462691264476_1573217183947239834_n.jpg?oh=e4cb87487baccb534effb045fe4dcade&oe=5B082E9E,Ανδρομάχης 52,http://houseofchampions.weebly.com/
7,1485,"In our ""boutique"" fitness club, every member has our full attention !",Gym/Physical Fitness Center,197,https://scontent.xx.fbcdn.net/v/t31.0-0/p480x480/14352053_10153993440301139_3337964982865492442_o.jpg?oh=427fc89a51704f0ee467af931fd9b436&oe=5B0A83EE,"Το πρώτο Fitness club στην Αθήνα από το 1986 με υψηλές προδιαγραφές στις εγκαταστάσεις, στον εξοπλισμό και την παροχή υπηρεσιών γυμναστικής – fitness training, εξακολουθεί σήμερα να είναι μπροστά και πάντα ενημερωμένο στις τελευταίες εξελίξεις. Κάθε μέλος έχει εξατομικευμένη προσοχή από έμπειρους γυμναστές.",valba@otenet.gr,135651526138.0,37.9737044,https://www.facebook.com/flamingogymathens/,,23.7500942,flamingogymathens,302107290548,https://scontent.xx.fbcdn.net/v/t1.0-1/p50x50/15542453_10154233163411139_6316734072742101376_n.jpg?oh=c3aeb8b18154a3d4b6c432878dfb0d5b&oe=5B4A60F9,Antinoros 31,www.flamingofitness.gr
8,880,*InShape Gym Dasos Haidariou* Το γυμναστήριο της δυτικής Αθήνας - Χαϊδάρι - Αιγάλεω - Περιστέρι - Κορυδαλλός - Ελευσίνα,Gym/Physical Fitness Center,4191,https://scontent.xx.fbcdn.net/v/t31.0-8/s720x720/27500925_10155245495584135_7530136580494904491_o.jpg?_nc_cat=0&oh=8898d5446a37e8bb1f5708089e0799dc&oe=5BA5B1EB,"Ποιοτικές υπηρεσίες γυμναστικής για άνδρες και γυναίκες όλων των ηλικιών με σύγχρονες μεθόδους και εξοπλισμό, σε ένα άνετο και καθαρό χώρο. Ελάτε να γνωρίσετε το χώρο του γυμναστηρίου, τις εγκαταστάσεις αλλά και τους έμπειρους επαγγελματίες γυμναστές. Σύγχρονο γυμναστήριο στο εμπορικό κέντρο ΕΛΛΗΣΠΟΝΤΟΣ, στη Λ. Αθηνών 336, στο Δάσος Χαϊδαρίου με ομαδικά ή ατομικά προγράμματα * Aerobic * Step * Pilates * Power Yoga * Aqua Aerobic * Kick Boxing * Tae bo * Streching * Body Pump * Σουηδική * Παραδοσιακοί / Μοντέρνοι Χοροί * Oriental και επιπλέον υπηρεσίες * Kinesis Ασκήσεις κινητικής * Pilates * Δόνηση - Power Vibe * Solarium * Μασάζ * Διατροφικές Συμβουλές * Σάουνα * Χαμάμ.",info@inshapegym.gr,142467174134.0,38.01129019,https://www.facebook.com/InShape-Gym-Dasos-Haidariou-142467174134/,,23.65006437,InShape-Gym-Dasos-Haidariou-142467174134,210-5324454,https://scontent.xx.fbcdn.net/v/t1.0-1/p50x50/29694720_10155401822344135_7171539311991455744_n.png?_nc_cat=0&oh=761b14f6932b8a719244ce533f247972&oe=5BAB409C,Λεωφόρος Αθηνών 336,www.inshapegym.gr
9,1192,Σχολή πολεμικών τεχνων Aikido- Tai chi Μετρο σταση Φιξ 80μ -Τουσα Μποτσαρη 11,Martial Arts School,878,https://scontent.xx.fbcdn.net/v/t1.0-9/s720x720/28685013_10155031488805946_5107787970332668554_n.jpg?oh=b180066d3cfcfd862331455b0cf159c2&oe=5B06901C,"ΚΕΝΤΡΟ ΠΟΛΕΜΙΚΩΝ ΤΕΧΝΩΝ ΔΙΔΑΣΚΟΝΤΑΙ ΑΙΚΙΝΤΟ ,ΤΑΙ ΤΣΙ ΤΣΟΥΑΝ . ΕΠΕΙΔΗ ΔΕΝ ΘΕΛΟΥΜΕ ΝΑ ΠΛΗΡΩΣΕΤΕ ΓΙΑ ΝΑ ΜΑΘΕΤΕ ΑΝ ΣΑΣ ΤΑΙΡΙΑΖΟΥΝ ΟΙ ΠΟΛΕΜΙΚΕΣ ΤΕΧΝΕΣ , ΣΑΣ ΠΡΟΣΦΕΡΟΥΜΕ 1 ΕΒΔΟΜΑΔΑ ΔΩΡΕΑΝ ΔΟΚΙΜΗ ΣΕ ΟΠΟΙOΔΗΠΟΤΕ ΤΜΗΜΑ ΤΟΥ ATHENS BUSHIDO CENTER !!!",athensbushidocenter@gmail.com,147499855945.0,37.96495325,https://www.facebook.com/Athens.Bushido.Center/,,23.7240365,Athens.Bushido.Center,6973381917,https://scontent.xx.fbcdn.net/v/t1.0-1/p50x50/14224862_10153671215030946_6911019735649367020_n.jpg?oh=b91824ecddff792f66cbc1b920bff2bc&oe=5B47535B,Tousa botsari 11 koukaki,www.aikidobushidocenter.gr
