,Schools,Time,school_facebook,school_facebook_id,school_website,organisation,Org_Facebook,Org_Website,schoolUID,City,Perioxi,address,create_place,Place,categoryNoSLug,subcategoriesNoSLug,category,subcategory,OrganisationMeSelect,Organisation_UID,Courses,published,Copyfromorg,schoolsform,orgform,New Column
0,A.Σ. ΑΤΡΑΠΟΣ- ΥUDOKAN DOJO-Θεσσαλονίκη-Aikido,7042020140113,,,,A.Σ. ΑΤΡΑΠΟΣ- ΥUDOKAN DOJO,https://www.facebook.com/groups/yudokan/,www.atrapos.gr ,7042020140113school,Θεσσαλονίκη,,,FALSE,"DOJO,",Πολεμικές τέχνες,Aikido,polemikes-texnes,aikido,A.Σ. ΑΤΡΑΠΟΣ- ΥUDOKAN DOJO,org14042020000142,"04042020110228course,04042020110234course,04042020110237course,04042020122953course",YES,FALSE,https://docs.google.com/forms/d/e/1FAIpQLSdHlKiJ15AdAFDRQLfkwd5gD5_sPt4Stqn5qQWB1ohxheLmxQ/viewform?17usp=pp_url&entry.1945228078=&entry.1347894567=&entry.749010434=&entry.1530733260=&entry.1842139517=&entry.1104764607=&entry.725044283=&entry.1262375921=,Form,
1,A.Σ. ΑΤΡΑΠΟΣ- ΥUDOKAN DOJO-Θεσσαλονίκη-Krav Maga,7042020140113,,,,A.Σ. ΑΤΡΑΠΟΣ- ΥUDOKAN DOJO,https://www.facebook.com/groups/yudokan/,www.atrapos.gr ,7042020140113school,Θεσσαλονίκη,,,FALSE,DOJO,Πολεμικές τέχνες,Krav Maga,polemikes-texnes,krav-manga,A.Σ. ΑΤΡΑΠΟΣ- ΥUDOKAN DOJO,org14042020000142,"04042020110239course,04042020110242course",YES,FALSE,,,
2,A.Σ. ΑΤΡΑΠΟΣ- ΥUDOKAN DOJO-Θεσσαλονίκη-Capoeira,7042020140113,,,,A.Σ. ΑΤΡΑΠΟΣ- ΥUDOKAN DOJO,https://www.facebook.com/groups/yudokan/,www.atrapos.gr ,7042020140113school,Θεσσαλονίκη,,,FALSE,DOJO,Πολεμικές τέχνες,Capoeira,polemikes-texnes,capoeira,A.Σ. ΑΤΡΑΠΟΣ- ΥUDOKAN DOJO,org14042020000142,"04042020110242course,04042020110243course,04042020110244course,04042020110249course,04042020110251course",YES,FALSE,,,
3,ΜΑΚΕΔΟΝΙΚΟΣ ΑΠΣ ΝΕΑΠΟΛΗΣ-Θεσσαλονίκη-Volley,7042020140113,,,,ΜΑΚΕΔΟΝΙΚΟΣ ΑΠΣ ΝΕΑΠΟΛΗΣ,no,www.makedonikos.gr,7042020140113school,Θεσσαλονίκη,,,FALSE,Μακεδονικός,Αθλητισμός,Volley,athlitismos,volley,ΜΑΚΕΔΟΝΙΚΟΣ ΑΠΣ ΝΕΑΠΟΛΗΣ,org14042020000044,"04042020110151course,04042020110153course,04042020110154course,04042020110156course,04042020110159course",YES,FALSE,,,
4,ΜΑΚΕΔΟΝΙΚΟΣ ΑΠΣ ΝΕΑΠΟΛΗΣ-Θεσσαλονίκη-Ποδόσφαιρο,7042020140113,,,,ΜΑΚΕΔΟΝΙΚΟΣ ΑΠΣ ΝΕΑΠΟΛΗΣ,no,www.makedonikos.gr,7042020140113school,Θεσσαλονίκη,,,FALSE,Μακεδονικός,Αθλητισμός,Ποδόσφαιρο,athlitismos,football,ΜΑΚΕΔΟΝΙΚΟΣ ΑΠΣ ΝΕΑΠΟΛΗΣ,org14042020000044,"04042020110201course,04042020110202course,04042020110205course,04042020110206course,04042020110207course,04042020110209course,04042020110210course,04042020110212course,04042020110216course,04042020110217course,04042020110223course,04042020110225course",YES,FALSE,,,
5,Α.Σ. ΑΤΛΑΝΤΑΣ ΘΕΣΣΑΛΟΝΙΚΗΣ 2004-Θεσσαλονίκη-Κολύμβηση,7042020140113,,,,Α.Σ. ΑΤΛΑΝΤΑΣ ΘΕΣΣΑΛΟΝΙΚΗΣ 2004,https://www.facebook.com/atlantas.a.s2004/,no,7042020140113school,Θεσσαλονίκη,,,FALSE,Κολυμβητήριο & ΕΑΚ Νεάπολης,Αθλητισμός,Κολύμβηση,athlitismos,kithara,Α.Σ. ΑΤΛΑΝΤΑΣ ΘΕΣΣΑΛΟΝΙΚΗΣ 2004,org14042020000045,01042020134227course,YES,FALSE,,,
6,Α.Σ. ΑΤΛΑΝΤΑΣ ΘΕΣΣΑΛΟΝΙΚΗΣ 2004-Θεσσαλονίκη-Τεχνική Κολύμβηση,7042020140113,,,,Α.Σ. ΑΤΛΑΝΤΑΣ ΘΕΣΣΑΛΟΝΙΚΗΣ 2004,https://www.facebook.com/atlantas.a.s2004/,no,7042020140113school,Θεσσαλονίκη,,,FALSE,ΕΑΚ ΠΟΣΕΙΔΩΝΙΟ,Αθλητισμός,Τεχνική Κολύμβηση,athlitismos,texniki-kolimvisi,Α.Σ. ΑΤΛΑΝΤΑΣ ΘΕΣΣΑΛΟΝΙΚΗΣ 2004,org14042020000045,01042020134721course,YES,FALSE,,,
7,Α.Σ. ΑΤΡΑΠΟΣ - Θεσσαλονίκη-Θεσσαλονίκη-Judo,7042020140113,,,,Α.Σ. ΑΤΡΑΠΟΣ - Θεσσαλονίκη,https://www.facebook.com/groups/yudokan,no,7042020140113school,Θεσσαλονίκη,,,FALSE,Α.Σ. ΑΤΡΑΠΟΣ,Πολεμικές τέχνες,Judo,polemikes-texnes,judo,Α.Σ. ΑΤΡΑΠΟΣ - Θεσσαλονίκη,org14042020000008,"04042020110252course,04042020110350course,04042020110351course",YES,FALSE,,,
8,Α.Σ. ΑΤΡΑΠΟΣ - Θεσσαλονίκη-Θεσσαλονίκη-Tae Kwon Do,7042020140113,,,,Α.Σ. ΑΤΡΑΠΟΣ - Θεσσαλονίκη,https://www.facebook.com/groups/yudokan,no,7042020140113school,Θεσσαλονίκη,,,FALSE,Α.Σ. ΑΤΡΑΠΟΣ,Πολεμικές τέχνες,Tae Kwon Do,polemikes-texnes,tae-kwon-do,Α.Σ. ΑΤΡΑΠΟΣ - Θεσσαλονίκη,org14042020000008,"04042020110253course,04042020110254course,04042020110304course,04042020110353course",YES,FALSE,,,
9,Α.Σ. ΑΤΡΑΠΟΣ - Θεσσαλονίκη-Θεσσαλονίκη-Jiu-Jitsu,7042020140113,,,,Α.Σ. ΑΤΡΑΠΟΣ - Θεσσαλονίκη,https://www.facebook.com/groups/yudokan,no,7042020140113school,Θεσσαλονίκη,,,FALSE,Α.Σ. ΑΤΡΑΠΟΣ,Πολεμικές τέχνες,Jiu-Jitsu,polemikes-texnes,jiujitsu,Α.Σ. ΑΤΡΑΠΟΣ - Θεσσαλονίκη,org14042020000008,"04042020110255course,04042020110305course",YES,FALSE,,,
