,subcategory,categories,SchoolsUID,slugSubcategory,slugCategory,countSchools,athenscity,athensSchools,athenscount,thessCity,thessSchools,thessCount
0,Baby Swimming,Baby,7042020140113school,baby-swimming,baby,1,Αθήνα,"7042020140113school,",1,Θεσσαλονίκη,"7042020140113school,",1
1,Bridge,Αθλητισμός,7042020140113school,bridge,athlitismos,1,Αθήνα,,0,Θεσσαλονίκη,"7042020140113school,",1
2,Handball,Αθλητισμός,"7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school",handball,athlitismos,1,Αθήνα,"7042020140113school,",1,Θεσσαλονίκη,"7042020140113school,",1
3,Natural Movement,Αθλητισμός,,natural-movement,athlitismos,0,Αθήνα,,0,Θεσσαλονίκη,,0
4,Padel Tennis,Αθλητισμός,"7042020140113school,7042020140113school,7042020140113school",padel-tennis,athlitismos,1,Αθήνα,"7042020140113school,",1,Θεσσαλονίκη,"7042020140113school,",1
5,Ping Pong,Αθλητισμός,"7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school",ping-pong,athlitismos,1,Αθήνα,"7042020140113school,",1,Θεσσαλονίκη,"7042020140113school,",1
6,Tennis,Αθλητισμός,"7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school",tennis,athlitismos,1,Αθήνα,"7042020140113school,",1,Θεσσαλονίκη,"7042020140113school,",1
7,Volley,Αθλητισμός,"7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school",volley,athlitismos,1,Αθήνα,"7042020140113school,",1,Θεσσαλονίκη,"7042020140113school,",1
8,Αναρίχηση,Αθλητισμός,"7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school",anarixisi,athlitismos,1,Αθήνα,"7042020140113school,",1,Θεσσαλονίκη,"7042020140113school,",1
9,Ενόργανη-Ρυθμική,Αθλητισμός,"7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school",gymnastics-rithmiki,athlitismos,1,Αθήνα,"7042020140113school,",1,Θεσσαλονίκη,"7042020140113school,",1
10,Κολύμβηση,Αθλητισμός,"7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school",kithara,athlitismos,1,Αθήνα,"7042020140113school,",1,Θεσσαλονίκη,"7042020140113school,",1
11,Κωπηλασία,Αθλητισμός,"7042020140113school,7042020140113school,7042020140113school,7042020140113school",rowing,athlitismos,1,Αθήνα,"7042020140113school,",1,Θεσσαλονίκη,"7042020140113school,",1
12,Ξιφασκία,Αθλητισμός,"7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school,7042020140113school",fencing,athlitismos,1,Αθήνα,"7042020140113school,",1,Θεσσαλονίκη,"7042020140113school,",1
13,Πάλη,Αθλητισμός,"7042020140113school,7042020140113school,7042020140113school,7042020140113school",wrestling,athlitismos,1,Αθήνα,"7042020140113school,",1,Θεσσαλονίκη,"7042020140113school,",1
14,Παρκούρ,Αθλητισμός,"7042020140113school,7042020140113school,7042020140113school",parkour,athlitismos,1,Αθήνα,"7042020140113school,",1,Θεσσαλονίκη,"7042020140113school,",1
