,UID,address,category,city,courses,coverPhoto,customCategory,dataOrigin,dateAdded,description,email,facebook,facebookID,logo,mapblock,mobile,organization,perioxi,phone,place,profilePhoto,rensponsible,school,slugCategories,slugSubcategories,subcategory,toPublish,type,userID,verified,website,yearCreated,zipcode
0,1620,,Πολεμικές τέχνες,Αθήνα,,,,polemikes-texnes.gr,,, info@zencenterathens.gr,www.facebook.com/zencenterathens,zencenterathens,https://www.polemikes-tehnes.gr/pics/logos/b/2014818193149708.jpg,,,,ΠλατείαΑγ.Ειρήνης,,,,,ZEN CENTER ATHENS,polemikes-texnes,aikido,Aikido,YES,,,NO,http://www.zencenterathens.com,,
1,635,,Πολεμικές τέχνες,Αθήνα,,,,polemikes-texnes.gr,,, ikardiatoupolemisti239@yahoo.gr,www.facebook.com/yubukaidojo/,yubukaidojo,https://www.polemikes-tehnes.gr/pics/logos/b/2017821225551496.jpg,,,,Αιγάλεω,,,,,KARATE ΑΙΓΑΛΕΩ - Η ΚΑΡΔΙΑ ΤΟΥ ΠΟΛΕΜΙΣΤΗ,polemikes-texnes,karate,Karate,YES,,,NO,www.lemonbook.gr/site.php?store=TJbGLaLT5jDrZYGgRqUmyNyn&language=EL,,
2,1147,,Πολεμικές τέχνες,Αθήνα,,,,polemikes-texnes.gr,,, sifuvasilakis@yahoo.gr,www.facebook.com/yingjowpaigreece,yingjowpaigreece,https://www.polemikes-tehnes.gr/pics/logos/b/201497184840520.jpg,,,,Κερατσίνι-Αμφιάλη,,,,,NORTHERN EAGLE CLAW KUNG FU – GREGORY VASILAKIS,polemikes-texnes,kung-fu,Kung Fu,YES,,,NO,www.yingjowpai.gr,,
3,973,,Πολεμικές τέχνες,Αθήνα,,,,polemikes-texnes.gr,,, katsivass@yahoo.gr,www.facebook.com/Ying.Jow.Pai.Ilioupoli/,Ying.Jow.Pai.Ilioupoli,https://www.polemikes-tehnes.gr/pics/logos/b/2017612152913986.jpg,,,,Ηλιούπολη,,,,,YING JOW PAI ΗΛΙΟΥΠΟΛΗΣ,polemikes-texnes,kung-fu,Kung Fu,YES,,,NO,www.yingjowpailioupoli.gr/,,
4,1408,,Πολεμικές τέχνες,Αθήνα,,,,polemikes-texnes.gr,,, ,www.facebook.com/wuyongchunquan/timeline,wuyongchunquan,https://www.polemikes-tehnes.gr/pics/logos/b/20179209243939.jpg,,,,ΝέαΦιλαδέλφεια,,,,,Wu Yongchunquan Academy-Foshan WingChun,polemikes-texnes,kung-fu,Kung Fu,YES,,,NO,wushu4u.com/,,
5,712,,Πολεμικές τέχνες,Αθήνα,,,,polemikes-texnes.gr,,, ,www.facebook.com/WingChunKungFuPBrebos/timeline,WingChunKungFuPBrebos,https://www.polemikes-tehnes.gr/pics/logos/b/201582312051395.jpg,,,,ΆνωΛιόσια,,,,,WING CHUN KUNG FU - BREBOS,polemikes-texnes,kung-fu,Kung Fu,YES,,,NO,www.wingchunkf.gr,,
6,1047,,Πολεμικές τέχνες,Αθήνα,,,,polemikes-texnes.gr,,, tzanos_world@hotmail.com,www.facebook.com/TzanosKarateAcademyChalandri/,TzanosKarateAcademyChalandri,https://www.polemikes-tehnes.gr/pics/logos/b/2017827103350926.png,,,,Κ.Χαλάνδρι,,,,,TZANOS KARATE ACADEMY,polemikes-texnes,karate,Karate,YES,,,NO,www.karatechalandri.gr/,,
7,1316,,Πολεμικές τέχνες,Αθήνα,,,,polemikes-texnes.gr,,, tokaidogr@gmail.com,www.facebook.com/tokaidogr,tokaidogr,https://www.polemikes-tehnes.gr/pics/logos/b/201389161436679.jpg,,,,Μοναστηράκι,,,,,AIKIDO DOJO TOKAIDO,polemikes-texnes,aikido,Aikido,YES,,,NO,www.tokaido.gr/,,
8,1403,,Πολεμικές τέχνες,Αθήνα,,,,polemikes-texnes.gr,,, lydiatilli@hotmail.com,www.facebook.com/TaiChiChuanNSmyrnis,TaiChiChuanNSmyrnis,https://www.polemikes-tehnes.gr/pics/logos/b/2013913165615296.JPG,,,,ΝέαΣμύρνη,,,,,TAI CHI CHUAN ΝΕΑΣ ΣΜΥΡΝΗΣ,polemikes-texnes,kung-fu,Kung Fu,YES,,,NO,www.taichi.gr/index.php,,
9,1421,,Πολεμικές τέχνες,Αθήνα,,,,polemikes-texnes.gr,,, taichiathens@gmail.com,www.facebook.com/TaiChiChuanAthens,TaiChiChuanAthens,https://www.polemikes-tehnes.gr/pics/logos/b/2015822124613338.jpg,,,,ΝέοΗράκλειο,,,,,Α.Σ. ΤΑΪ ΤΣΙ ΤΣΟΥΑΝ ΑΘΗΝΑΣ,polemikes-texnes,kung-fu,Kung Fu,YES,,,NO,taichiathens.gr,,
